0,0,5,25,33
1,1,4,27,34
2,2,10,3,16
3,3,5,3,11
4,4,9,3,15
5,5,2,2,7
6,6,9,11,23
7,7,6,17,26
8,8,4,4,11
9,9,11,24,38
10,10,5,16,24
11,11,15,12,30
12,12,16,2,21
13,13,5,13,21
14,14,16,25,44
15,15,7,26,36
16,16,10,13,26
17,17,15,5,23
18,18,4,22,29
19,19,14,2,19
20,20,6,13,22
21,21,7,7,17
22,22,10,21,34
23,23,8,4,15
24,24,10,10,23
25,25,4,18,25
26,26,2,1,6
27,27,5,8,16
28,28,7,11,21
29,29,12,19,34
30,30,3,12,18
31,31,5,7,15
32,32,2,24,29
33,33,7,27,37
34,34,9,28,40
35,35,11,16,30
36,36,9,9,21
37,37,5,1,9
38,38,15,15,33
39,39,10,19,32
40,40,15,15,33
41,41,5,18,26
42,42,14,27,44
43,43,8,13,24
44,44,14,0,17
45,45,11,7,21
46,46,7,17,27
47,47,14,31,48
48,48,10,31,44
49,49,16,9,28
50,50,1,13,17
51,51,3,27,33
52,52,10,18,31
53,53,15,7,25
54,54,5,9,17
55,55,8,6,17
56,56,1,1,5
57,57,4,2,9
58,58,6,25,34
59,59,2,11,16
60,60,4,6,13
61,61,16,13,32
62,62,16,6,25
63,63,3,7,13
64,64,8,1,12
65,65,13,5,21
66,66,10,23,36
67,67,7,24,34
68,68,6,5,14
69,69,12,27,42
70,70,9,6,18
71,71,15,25,43
72,72,7,14,24
73,73,6,24,33
74,74,3,19,25
75,75,3,15,21
76,76,4,26,33
77,77,5,28,36
78,78,3,5,11
79,79,8,8,19
80,80,12,18,33
81,81,16,19,38
82,82,8,19,30
83,83,13,20,36
84,84,10,7,20
85,85,13,30,46
86,86,5,29,37
87,87,3,19,25
88,88,9,6,18
89,89,16,24,43
90,90,5,13,21
91,91,13,4,20
92,92,12,2,17
93,93,3,26,32
94,94,13,16,32
95,95,6,28,37
96,96,7,27,37
97,97,4,30,37
98,98,4,9,16
99,99,7,14,24
100,100,2,20,25
101,101,6,7,16
102,102,15,14,32
103,103,2,19,24
104,104,3,28,34
105,105,12,9,24
106,106,1,19,23
107,107,13,11,27
108,108,13,1,17
109,109,8,9,20
110,110,9,16,28
111,111,2,18,23
112,112,13,14,30
113,113,2,27,32
114,114,12,10,25
115,115,14,10,27
116,116,7,14,24
117,117,4,28,35
118,118,16,14,33
119,119,13,10,26
120,120,5,27,35
121,121,10,3,16
122,122,13,22,38
123,123,11,7,21
124,124,15,6,24
125,125,10,19,32
126,126,11,28,42
127,127,1,19,23
128,128,1,14,18
129,129,3,25,31
130,130,15,20,38
131,131,10,7,20
132,132,2,21,26
133,133,12,8,23
134,134,5,10,18
135,135,2,14,19
136,136,10,22,35
137,137,14,19,36
138,138,16,28,47
139,139,16,8,27
140,140,10,11,24
141,141,4,14,21
142,142,2,15,20
143,143,7,26,36
144,144,9,30,42
145,145,8,2,13
146,146,9,19,31
147,147,4,19,26
148,148,3,25,31
149,149,11,22,36
150,150,10,2,15
151,151,15,31,49
152,152,11,8,22
153,153,8,11,22
154,154,9,20,32
155,155,7,5,15
156,156,1,5,9
157,157,2,22,27
158,158,11,16,30
159,159,6,18,27
160,160,7,9,19
161,161,7,0,10
162,162,6,12,21
163,163,14,27,44
164,164,11,1,15
165,165,12,11,26
166,166,4,18,25
167,167,10,26,39
168,168,11,31,45
169,169,4,19,26
170,170,14,24,41
171,171,4,17,24
172,172,5,31,39
173,173,11,4,18
174,174,10,6,19
175,175,5,30,38
176,176,4,22,29
177,177,14,28,45
178,178,13,29,45
179,179,4,1,8
180,180,16,0,19
181,181,13,3,19
182,182,4,29,36
183,183,16,9,28
184,184,16,3,22
185,185,10,6,19
186,186,3,26,32
187,187,15,5,23
188,188,5,25,33
189,189,5,26,34
190,190,6,21,30
191,191,10,19,32
192,192,11,13,27
193,193,4,30,37
194,194,8,14,25
195,195,13,10,26
196,196,9,7,19
197,197,11,14,28
198,198,11,0,14
199,199,9,26,38
200,200,2,19,24
201,201,4,12,19
202,202,6,19,28
203,203,16,7,26
204,204,13,0,16
205,205,3,15,21
206,206,7,22,32
207,207,9,22,34
208,208,1,9,13
209,209,3,2,8
210,210,8,23,34
211,211,8,13,24
212,212,6,3,12
213,213,5,14,22
214,214,9,14,26
215,215,1,22,26
216,216,10,1,14
217,217,3,0,6
218,218,6,9,18
219,219,9,30,42
220,220,1,5,9
221,221,13,12,28
222,222,10,13,26
223,223,4,11,18
224,224,8,1,12
225,225,10,24,37
226,226,8,20,31
227,227,16,10,29
228,228,4,19,26
229,229,3,19,25
